Timestamp,How long have you been using Haskell?,Sample Question 2,How would you characterize your use of Haskell today?,What is the status of Haskell in your workplace?,What is the status of Haskell in your workplace?,In which domain(s) are you using Haskell?,Which environment(s) do you use to work with Haskell?,"What language was your primary language just prior to adopting Haskell – or, if Haskell is not your primary language now, what is that primary language?","If Haskell disappeared tomorrow, what language(s) might you use as a ""replacement""?",How would you rate the following qualities of Haskell libraries? [Documentation],How would you rate the following qualities of Haskell libraries? [Test coverage],How would you rate the following qualities of Haskell libraries? [Performance],How would you rate the following qualities of Haskell libraries? [Integration with other libraries],How would you rate the following qualities of Haskell libraries? [Cross platform compatility],How would you rate the following qualities of Haskell libraries? [API stability],How would you rate the following qualities of Haskell libraries? [Ease of use],How would you rate the following qualities of Hackage? [Number of libraries],How would you rate the following qualities of Hackage? [Overall quality of libraries],How would you rate the following qualities of Hackage? [Ease of finding a library for a given task],Reasoning about the performance of Haskell programs is...,What would help you most when reasoning about the performance of your Haskell programs?,How would you rate the following qualities of Hackage? [Ease of judging the quality of a library],What do you think is Haskell's most glaring weakness / blind spot / problem?,How would you rate the following qualities of Hackage? [Likelihood that a library will build on your machine]
7/17/2011 13:34:43,5+ years,,I use it at work.,,,Compilers / interpreters,"Emacs / haskell-mode, Command line REPL",Pascal,"F#, O'Caml, Scheme, Clean",4,4,4,,3,3,4,4,3,2,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better library documentation (e.g. documented strictness properties)",2,,3
7/17/2011 13:35:09,2 years,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,It's used secretly,"RDBMS programming, Web development",Notepad++,Python,"Python, Scheme",4,2,4,4,4,4,4,4,4,5,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",3,,4
7/17/2011 13:35:09,Months,,"I use it for serious ""hobby"" projects.",,"I'm lobbying to have it be ""endorsed""","Network programming, RDBMS programming, Web development",vi,Java,Erlang,2,3,3,3,3,3,3,4,3,2,3,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,"No problems with Haskell!


cabal specific:
problematic build can kill your ghc-pkg system... 
dependency check based on md5 checksums is problematic for differently configured libs

",3
7/17/2011 13:35:12,Months,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Gaming, Compilers / interpreters",vi,C++,O'Caml,5,3,2,1,1,2,2,2,2,1,3,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",4,,1
7/17/2011 13:35:43,5+ years,,I use it at work.,,It's endorsed and used in production applications,"Open source projects, Compilers / interpreters",Gedit,C,"Erlang, O'Caml",1,1,3,3,3,2,1,5,2,1,1,,1,"lack of ""standard"" libraries, endorsed and maintained by experts",4
7/17/2011 13:35:58,2 years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,I don't use Haskell at work,"Graphics / art, Math / data analysis, Network programming, Open source projects, Thick clients: GTK etc, Web development, Compilers / interpreters","Emacs / haskell-mode, Command line REPL","C++, Scheme","O'Caml, Scheme",3,2,4,4,2,4,5,5,4,4,4,"Better run-time analysis tools (e.g. profilers), Better library documentation (e.g. documented strictness properties)",3,,4
7/17/2011 13:36:03,5+ years,,"I use it for my studies., I use it at work.",,It's endorsed and used in production applications,Compilers / interpreters,Emacs / haskell-mode,Scheme,O'Caml,2,3,3,3,3,3,3,3,3,3,5,,3,,3
7/17/2011 13:36:34,2 years,,"I'm just tinkering., I use it for serious ""hobby"" projects., I use it for my studies.",,I don't use Haskell at work,"Open source projects, Compilers / interpreters",vi,Python,O'Caml,3,3,4,2,2,3,3,5,3,4,4,"Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",3,,4
7/17/2011 13:37:00,Just started,,I'm just tinkering.,,,Open source projects,vi,Perl,O'Caml,4,4,5,4,5,4,4,5,5,4,3,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",4,,5
7/17/2011 13:37:20,2 years,,I use it for my studies.,,It's endorsed and used in production applications,Compilers / interpreters,TextMate,"C++, C#, Java","C#, F#",4,3,4,4,4,3,4,4,4,2,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",1,I'd love to see some debugging (~step by step evaluation/run tracing) support.,4
7/17/2011 13:37:21,2 years,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Math / data analysis, Open source projects, Compilers / interpreters",Emacs / haskell-mode,"C, Common Lisp, Python, Octave / MATLAB","Common Lisp, O'Caml, Scheme",3,4,3,4,4,4,4,5,3,2,5,"Better static analysis tools (e.g. linters), Better library documentation (e.g. documented strictness properties)",1,"It's not very convenient to use for numerical code.  HMatrix is good, but it's not good enough to compete with e.g. Octave on its own.  One thing I'd _love_ to see is a typeclass analogous to Common Lisp's ""Grid-Structured Data"" package, which provides a uniform interface to a number of array backends.  I'd love to be able to write algorithms and then use them with either Data.Packed.Matrix or Data.Array.Repa.  

Also nice would be an AD package that doesn't require instances of Traversable: I'd rather overload matrix arithmetic for AD using BLAS operations.  It'd be much faster.  Finally, plotting is a bit of a weak point.  Python has matplotlib, which is quite attractive.  ",2
7/17/2011 13:37:31,5+ years,,"I use it for serious ""hobby"" projects., I use it for my studies., I use it at work.",,It's endorsed and used in non-production activities,"Graphics / art, Math / data analysis, Open source projects, Web development",Command line REPL,Modula-3,"Ada, O'Caml, Modula-3",4,4,4,4,3,4,3,1,4,3,4,"Better static analysis tools (e.g. linters), performance information represented in types",4,"I find it quite negative, only to ask for the weaknesses. :-(
Thus I'll first answer the opposite question: Best of Haskell for me is the expressive type system, relatively high consistency in the language definition, higher-order functions.
Problem for me are space leaks and non-predictable performance in the presence of fusion RULES. Laziness properties should be expressible in the type system.
",3
7/17/2011 13:38:42,4 years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in production applications,"""NoSQL"" usage, RDBMS programming, Compilers / interpreters",TextMate,Java,"F#, Scala, Agda",4,3,3,3,2,4,4,4,3,5,3,"Better run-time analysis tools (e.g. profilers), Better library documentation (e.g. documented strictness properties)",4,,4
7/17/2011 13:39:17,4 years,,"I use it for serious ""hobby"" projects.",,"I'm lobbying to have it be ""endorsed""","Gaming, Network programming, Open source projects, Web development",vi,C,"Erlang, Python",4,3,5,5,4,5,4,4,4,5,2,,3,,5
7/17/2011 13:42:09,4 years,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Open source projects, Finance, Compilers / interpreters","vi, Command line REPL","C#, Javascript",F#,3,,,3,,,3,4,4,4,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",3,,4
7/17/2011 13:43:15,5+ years,,"I use it for serious ""hobby"" projects.",,"I'm lobbying to have it be ""endorsed""",Math / data analysis,Eclipse / EclispeFP,Eiffel,"Clojure, Erlang, Scala",4,3,4,3,4,4,4,5,4,4,4,"Better static analysis tools (e.g. linters), Tools to deduce complexity",2,Lack of JVM target.  This is why Scala is making the running in commercial use of FP at present.    Look at job statistics for Scala versus Haskell.,4
7/17/2011 13:43:39,5+ years,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Network programming, Open source projects, Web development",Emacs / haskell-mode,C++,"C++, Clojure, Common Lisp, F#, O'Caml, Scala",1,1,2,3,2,2,2,3,2,2,3,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",4,,4
7/17/2011 13:43:58,4 years,,"I use it for serious ""hobby"" projects.",,,"Gaming, Graphics / art",vi,"C++, Java, Prolog","Prolog, Scala",5,5,2,2,2,4,1,3,4,4,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better library documentation (e.g. documented strictness properties)",2,"Hackage.
Record syntax.",3
7/17/2011 13:44:59,1 year,,"I use it for serious ""hobby"" projects., I use it for my studies.",,,"Math / data analysis, Open source projects, Web development",vi,"C#, F#","F#, Scala",4,,,4,,,,5,4,2,4,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",3,,5
7/17/2011 13:45:14,5+ years,,"I use it for serious ""hobby"" projects.",,"I'm lobbying to have it be ""endorsed""","Gaming, Graphics / art, Network programming, Open source projects, RDBMS programming, Web development",vi,Python,Scheme,3,2,2,2,2,2,2,5,3,4,3,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,,4
7/17/2011 13:46:00,Months,,"I'm just tinkering., I use it for my studies.",,I don't use Haskell at work,,vi,C,Python,3,3,3,3,3,3,3,4,3,2,5,,3,,4
7/17/2011 13:46:22,1 year,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Network programming, Open source projects, Web development","Emacs / haskell-mode, Command line REPL",C++,"Perl, Python, Scala",2,2,4,4,,3,4,4,2,4,4,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",4,Lack of consensus on questions like string type or IO mechanism (lazy IO vs Iteratees; which Iteratee library...).,4
7/17/2011 13:47:59,5+ years,,I'm just tinkering.,,I don't use Haskell at work,"Gaming, Network programming, Open source projects, Thick clients: GTK etc","Emacs / haskell-mode, Command line REPL","Java, Python, Scala",Scala,,,,,,,,4,3,2,4,,3,,3
7/17/2011 13:48:01,5+ years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,It's endorsed and used in non-production activities,Math / data analysis,"Emacs / haskell-mode, Command line REPL","Java, Matlab","Clojure, Erlang, F#, O'Caml, Scala",4,3,4,5,5,4,4,5,4,4,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties), A way to tell where/why the thunks are building up.",3,"Hackage needs an overhaul, both UI-wise and security-wise.",4
7/17/2011 13:48:02,5+ years,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Network programming, Open source projects, Compilers / interpreters",vi,"C++, Java, Scala",Scala,3,3,2,2,2,3,2,2,2,2,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better library documentation (e.g. documented strictness properties)",3,"A better record system (e.g. with scoped labels) would be helpful.
Modules should be independent of files, the current Java-like approach (at least in GHC) is inconvenient.",2
7/17/2011 13:48:06,3 years,,"I'm just tinkering., I use it for my studies.",,"I'm lobbying to have it be ""endorsed""","Math / data analysis, Network programming","Emacs / haskell-mode, Command line REPL","C, C++, Clojure, Common Lisp, Scheme","Clojure, O'Caml, Scala",5,4,4,3,3,4,4,5,4,4,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better library documentation (e.g. documented strictness properties)",4,"hard start for novice, need to start to think ""completely other way""...",3
7/17/2011 13:49:17,3 years,,"I use it for serious ""hobby"" projects.",,,,vi,"C, Java","Lua, O'Caml, Scheme, disciple (yay!)",4,3,4,3,,5,4,4,5,3,2,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",4,"Default methods for superclasses, class synonyms and everything else that keeps us from having, among other things, a sane Num library.

Then, of course, the big HList elephant. It gives much needed expressivity and generalisation to everything having to do with records, and having appropriate type-level programming capabilities to write an easy to use and extend HList library would be awesome. The current state is almost as bad as C++ templates.",4
7/17/2011 13:49:21,4 years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in production applications,"Open source projects, Finance, Compilers / interpreters","vi, Command line REPL","C, Common Lisp, Perl",O'Caml,4,3,4,2,4,4,4,5,5,5,3,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",5,,4
7/17/2011 13:49:39,3 years,,"I'm just tinkering., I use it for serious ""hobby"" projects., I use it for my studies.",,,"Math / data analysis, Compilers / interpreters",Eclipse / EclispeFP,Java,Agda,3,2,4,4,3,3,4,3,4,2,3,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",4,"A lot of standard problems involving IO are still awkard in Haskell because of the lack of good libraries. For instance, random numbers (if you don't have Unix).",3
7/17/2011 13:51:16,4 years,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Gaming, Math / data analysis, Open source projects","Emacs / haskell-mode, Command line REPL",Perl,Common Lisp,2,2,3,3,4,4,3,4,4,3,4,Better run-time analysis tools (e.g. profilers),2,,4
7/17/2011 13:52:06,5+ years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in production applications,"Commercial products, Commercial services, Open source projects, RDBMS programming, Web development",vi,"D, Perl","Ada, F#, Go, O'Caml, Python",3,1,4,4,5,5,5,5,4,3,2,,2,,5
7/17/2011 13:52:57,5+ years,,"I use it for my studies., I use it at work.",,"I'm lobbying to have it be ""endorsed""","""Big Data"": Hadoop etc, Graphics / art, Math / data analysis, Web development, Compilers / interpreters",vi,Python,"Clojure, F#, Scheme",2,3,4,1,5,4,4,3,2,4,4,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",1,No syntax for easy matrix manipulation,5
7/17/2011 13:53:10,3 years,,"I use it for my studies., I use it at work.",,"I'm lobbying to have it be ""endorsed""",Compilers / interpreters,"vi, Command line REPL","C, Erlang, Java, Python",O'Caml,3,3,4,3,4,4,4,5,4,3,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",4,,4
7/17/2011 13:54:48,3 years,,"I'm just tinkering., I use it for serious ""hobby"" projects., I use it for my studies.",,"I'm lobbying to have it be ""endorsed""","Math / data analysis, Open source projects, Web development","vi, Command line REPL",Python,"O'Caml, Scheme",2,2,4,4,3,2,4,4,3,3,3,"Better run-time analysis tools (e.g. profilers), Better library documentation (e.g. documented strictness properties)",2,,4
7/17/2011 13:55:25,2 years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,,"Gaming, Math / data analysis, Open source projects","Leksah, Command line REPL, Gedit","Java, Pascal",,3,5,5,2,5,5,3,5,4,2,3,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,"In my opinion, it is - even if you use the FFI - extremly complex to write bindings to other languages that use structs for returning values / as arguments. It would be much simpler if there was a tool that could automagically translate a C struct to Haskell.",5
7/17/2011 13:55:45,4 years,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Network programming, Open source projects, RDBMS programming, Web development",Notepad++,Common Lisp,"C#, F#, Scala",3,3,3,3,4,3,3,4,4,2,3,Better run-time analysis tools (e.g. profilers),2,,5
7/17/2011 13:58:28,5+ years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in production applications,"""NoSQL"" usage, Math / data analysis, RDBMS programming, Compilers / interpreters",TextMate,C,"Erlang, O'Caml",2,3,3,3,4,3,4,5,3,3,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better library documentation (e.g. documented strictness properties)",3,Being lazy by default;,4
7/17/2011 14:00:33,Months,,I'm just tinkering.,,I don't use Haskell at work,,"vi, yi",Python,Scala,3,3,3,2,3,4,4,4,3,3,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",4,,4
7/17/2011 14:03:52,2 years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,I don't use Haskell at work,"Network programming, Open source projects","Emacs / haskell-mode, yi",C++,F#,2,3,3,4,5,4,3,5,4,2,4,"Better run-time analysis tools (e.g. profilers), Better library documentation (e.g. documented strictness properties)",1,,4
7/17/2011 14:03:58,Months,,"I use it for serious ""hobby"" projects., I use it for my studies.",,,"Math / data analysis, Open source projects, Compilers / interpreters",vi,Java,"Python, Scala",4,3,4,3,4,5,5,3,4,4,4,"Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",4,learning curve limited the target users,3
7/17/2011 14:04:31,4 years,,I'm just tinkering.,,I don't use Haskell at work,"Open source projects, Compilers / interpreters",Emacs / haskell-mode,Python,"O'Caml, Scala",3,1,3,2,,3,3,5,3,4,5,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,laziness,4
7/17/2011 14:05:32,3 years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,I don't use Haskell at work,"Math / data analysis, Compilers / interpreters","Emacs / haskell-mode, Command line REPL",Python,"Javascript, Python",4,3,4,2,4,4,3,4,4,5,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Offically bless the $!! operator",3,"Still hard to get a simple stack trace.  I still get a sinking feeling when my program crashes with ""Prelude.head: empty list""  I know how to coax GHC to tell me where the crash is, but a stack trace on exception should be the default, like Python or Java.",4
7/17/2011 14:06:29,2 years,,"I use it for serious ""hobby"" projects., I use it for my studies., I use it at work.",,It's used secretly,Web development,"vi, TextMate","C++, Java, Scala","F#, Python, Scala",1,3,4,2,5,4,4,4,4,4,4,"Better static analysis tools (e.g. linters), Better library documentation (e.g. documented strictness properties)",1,"IDEs, I constantly use Hoogle, compared to VS/XCode/Netbeans it just takes more time without proper autocompletion. On the other hand I find it hard to imagine autocompletion in Haskell",5
7/17/2011 14:06:47,2 years,,I use it for my studies.,,,"Open source projects, Compilers / interpreters","Eclipse / EclispeFP, Gedit","C, Java",Scala,4,2,4,2,5,4,3,5,4,3,4,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,,4
7/17/2011 14:10:35,3 years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in production applications,"Gaming, Graphics / art",Emacs / haskell-mode,C,O'Caml,3,3,3,3,3,3,3,3,3,3,3,,3,,4
7/17/2011 14:11:30,2 years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,I don't use Haskell at work,"Gaming, Math / data analysis, Network programming, Open source projects, Web development, Finance, Compilers / interpreters",Gedit,Java,Scala,4,3,4,4,4,3,4,4,4,4,5,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",2,"Lack of parameterized modules ala ML (even if it can be approximated).
The import syntax/semantics could be improved to make namespace conflicts easier to avoid.
The lack of people who know it.",3
7/17/2011 14:11:37,4 years,,"I use it for serious ""hobby"" projects.",,"I'm lobbying to have it be ""endorsed""",Open source projects,Leksah,"C++, C#","Erlang, F#, Scala",5,3,4,4,4,4,4,3,4,4,3,Better run-time analysis tools (e.g. profilers),3,,4
7/17/2011 14:12:27,5+ years,,"I'm just tinkering., I use it for serious ""hobby"" projects., I use it at work.",,It's used secretly,"Graphics / art, Math / data analysis, Network programming, Open source projects, Web development, Embedded, Compilers / interpreters","Command line REPL, TextMate","C, O'Caml","O'Caml, Objective C, Smalltalk",2,3,4,4,4,4,3,4,4,4,5,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,,2
7/17/2011 14:13:07,5+ years,,I use it at work.,,It's endorsed and used in non-production activities,"Open source projects, Compilers / interpreters","Emacs / haskell-mode, Command line REPL",C,Scala,3,3,3,3,3,3,3,4,4,2,3,Better run-time analysis tools (e.g. profilers),1,,2
7/17/2011 14:17:22,3 years,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Gaming, Graphics / art, Open source projects",,"C++, Python","F#, O'Caml, Python, The Disciplined Disciple Compiler (DDC)",4,3,4,4,4,4,5,4,3,4,4,"Better run-time analysis tools (e.g. profilers), Better library documentation (e.g. documented strictness properties)",3,"GHC portability
It would be great to support ARM devices.",4
